OTU_id	kingdom	phylum	class	order	family	genus	species	nav.cyl.b6	sem.nav.c1	sem.a1	sem.nav.c3	sem.nav.c4	nav.c5	nav.c6	triple.d1	triple.d2	sem.cyl.d3	nav.cyl.d4	nav.cyl.d5	cyl.d6	sem.cyl.a3	inoculum	sem.a4	cyl.a5	cyl.a6	triple.b1	nav.b2	sem.b3	sem.cyl.b4
28	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	unclassified	unclassified	1	0	24	4	5	0	0	1	0	5	0	0	0	15	6	36	0	0	4	0	18	0
29	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	NS11-12	unclassified	unclassified	21	4	1	0	0	0	0	3	0	0	0	0	0	81	1	5	0	24	4	3	1	2
30	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gaetbulibacter	marinus	1	0	34	6	33	0	0	1	1	1	0	0	0	17	2	25	0	0	0	0	76	0
31	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Ahrensia	kielensis	5	2	0	1	1	3	10	2	2	3	25	41	57	1	0	2	39	157	5	3	0	2
32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter	baekdonensis	0	8	0	21	20	7	4	4	5	20	5	2	6	18	0	1	5	13	6	2	0	4
33	Bacteria	Lentisphaerae	[Lentisphaeria]	Lentisphaerales	Lentisphaeraceae	unclassified	unclassified	0	0	5	2	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0
34	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	unclassified	unclassified	0	8	32	1	2	0	0	0	1	1	0	0	0	0	5	19	1	2	1	0	1	0
35	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia	unclassified	0	0	9	6	6	0	2	3	2	6	0	0	0	40	0	0	0	0	20	0	66	11
36	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	magnetite-containing	magnetic_vibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0
37	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Nitratifractor	salsuginis	6	0	0	1	0	0	0	2	2	1	0	0	10	0	0	0	0	41	1	5	2	0
38	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	guttiformis	0	0	0	0	15	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0
39	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	unclassified	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0
40	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter	baekdonensis	1	242	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	87	0	97	0	0
41	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	aestuarii	0	0	0	0	0	0	0	0	0	0	0	9	105	0	0	17	0	0	0	0	0	0
42	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Labrenzia	aggregata	1	1	25	2	0	0	0	0	0	3	0	0	2	1	0	97	0	1	1	0	10	0
43	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	unclassified	138	0	0	34	0	0	18	1	3	0	0	0	3	0	0	0	2	5	0	0	1	0
44	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	unclassified	7	3	8	87	5	1	38	2	0	4	0	5	8	16	2	80	1	119	4	2	6	2
45	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Citreimonas	salinaria	0	0	0	0	11	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0
47	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	unclassified	0	1	4	2	0	0	0	1	1	2	0	0	1	8	0	24	0	0	3	0	3	4
48	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	rodentium	0	0	0	0	0	0	0	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0
49	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	incheonensis	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0
50	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Octadecabacter	unclassified	160	17	7	7	8	2	3	0	6	10	55	88	1197	1	1	4	226	2111	1	0	2	2
52	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	testudinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0
53	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
54	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Persicivirga	dokdonensis	0	0	3	1	3	0	0	0	0	4	0	0	0	1	0	10	0	0	0	0	6	0
55	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	holmesii	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	3	0
56	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	guttiformis	1	0	0	5	0	3	2	0	0	1	4	2	3	0	0	2	3	22	2	0	0	0
57	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	unclassified	1	1	2	0	1	0	1	2	0	0	0	0	1	15	1	3	0	6	0	0	5	1
58	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	winghamensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
59	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter	baekdonensis	0	1	0	1	0	0	0	0	2	2	0	0	2	1	0	0	1	9	1	0	0	0
60	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	unclassified	unclassified	1	2	5	0	5	0	0	1	0	1	0	0	0	6	5	3	0	0	0	0	2	0
